bas_dd,isu_cd,open,high,low,close,acc_trdvol,acc_trdval,idx_ind_nm
20150427,069500,27440,27455,27230,27245,3903930,106669384950,코스피 200
20150428,069500,27305,27350,27100,27150,3834253,104307352450,코스피 200
20150429,069500,26950,27080,26585,26770,8740568,233767298535,코스피 200
20150430,069500,26685,26720,26555,26650,7481911,199299066865,코스피 200
20150504,069500,26695,26805,26650,26735,2783809,74432115215,코스피 200
20150506,069500,26635,26635,26280,26305,6136602,161701111075,코스피 200
20150507,069500,26280,26290,26000,26185,8961700,234406519095,코스피 200
20150508,069500,26195,26205,26075,26075,7396077,193194938630,코스피 200
20150511,069500,26240,26325,26120,26120,4650746,121854853250,코스피 200
20150512,069500,26100,26155,26020,26105,4239176,110604619758,코스피 200
20150513,069500,26110,26325,26110,26265,3581756,94052227710,코스피 200
20150514,069500,26225,26325,26175,26300,3285747,86336918690,코스피 200
20150515,069500,26405,26480,26035,26040,8188560,214206937335,코스피 200
20150518,069500,26095,26105,25955,26100,8130048,212076071305,코스피 200
20150519,069500,26100,26295,26030,26220,5531626,145065325270,코스피 200
20150520,069500,26280,26475,26230,26460,3400702,89823495965,코스피 200
