date,ticker,close
2026-07-08,0000Z0,9725.0
2026-07-08,0007N0,117913.0
2026-07-08,0026S0,13620.0
2026-07-08,0041E0,17608.0
2026-07-08,0053M0,13300.0
2026-07-08,0069M0,14445.0
2026-07-08,0098Z0,99524.0
2026-07-08,0112X0,43805.0
2026-07-08,0144L0,10151.0
2026-07-08,0162Y0,7275.0
2026-07-08,0163Y0,8655.0
2026-07-08,0166N0,7585.0
2026-07-08,0167B0,12650.0
2026-07-08,0191B0,28560.0
2026-07-08,0191S0,13720.0
2026-07-08,0193G0,9115.0
2026-07-08,0204S0,6800.0
2026-07-08,0208N0,8160.0
2026-07-08,069500,116630.0
2026-07-08,069660,116699.0
2026-07-08,091160,135380.0
2026-07-08,091170,15583.0
2026-07-08,091220,16229.0
2026-07-08,091230,142007.0
2026-07-08,099140,22210.0
2026-07-08,102110,116924.0
2026-07-08,105190,117103.0
2026-07-08,108590,116494.0
2026-07-08,133690,193121.0
2026-07-08,139270,16994.0
2026-07-08,140950,92338.0
2026-07-08,143860,37205.0
2026-07-08,148020,117508.0
2026-07-08,152100,118538.0
2026-07-08,152870,117857.0
2026-07-08,153270,90328.0
2026-07-08,159800,92830.0
2026-07-08,166400,22972.0
2026-07-08,168580,37995.0
2026-07-08,192090,13925.0
2026-07-08,192720,57803.0
2026-07-08,211560,35939.0
2026-07-08,211900,28627.0
2026-07-08,226490,74688.0
2026-07-08,226980,22123.0
2026-07-08,227830,74701.0
2026-07-08,228820,19202.0
2026-07-08,229200,13565.0
2026-07-08,229720,38542.0
2026-07-08,232080,13840.0
2026-07-08,237350,93729.0
2026-07-08,238720,48885.0
2026-07-08,241180,37170.0
2026-07-08,245360,12836.0
2026-07-08,250730,9655.0
2026-07-08,251350,41282.0
2026-07-08,252000,18663.0
2026-07-08,252650,17950.0
2026-07-08,266370,72035.0
2026-07-08,266420,16820.0
2026-07-08,269540,29880.0
2026-07-08,270810,13500.0
2026-07-08,277630,75853.0
2026-07-08,277640,39990.0
2026-07-08,277650,20265.0
2026-07-08,278530,42270.0
2026-07-08,278540,41490.0
2026-07-08,283580,16916.0
2026-07-08,284980,22729.0
2026-07-08,292050,52800.0
2026-07-08,292160,51496.0
2026-07-08,292190,50993.0
2026-07-08,292500,52136.0
2026-07-08,293180,116856.0
2026-07-08,294400,153045.0
2026-07-08,295040,43785.0
2026-07-08,301400,13730.0
2026-07-08,302450,74820.0
2026-07-08,304760,50516.0
2026-07-08,304770,13585.0
2026-07-08,304940,32085.0
2026-07-08,305050,75535.0
2026-07-08,310080,9185.0
2026-07-08,310960,68330.0
2026-07-08,310970,51685.0
2026-07-08,316670,6770.0
2026-07-08,328370,40800.0
2026-07-08,332500,78580.0
2026-07-08,332930,153370.0
2026-07-08,332940,52045.0
2026-07-08,337140,38792.0
2026-07-08,354500,13730.0
2026-07-08,359210,37690.0
2026-07-08,360200,28132.0
2026-07-08,360750,27851.0
2026-07-08,361580,66320.0
2026-07-08,364690,41767.0
2026-07-08,364960,6235.0
2026-07-08,364970,6775.0
2026-07-08,365040,38085.0
2026-07-08,367380,33185.0
2026-07-08,368190,7265.0
2026-07-08,368590,32195.0
2026-07-08,368680,7284.0
2026-07-08,371150,7618.0
2026-07-08,371160,7809.0
2026-07-08,371870,7615.0
2026-07-08,372330,7798.0
2026-07-08,375760,25671.0
2026-07-08,375770,25702.0
2026-07-08,376410,25679.0
2026-07-08,379780,24330.0
2026-07-08,379800,25299.0
2026-07-08,379810,28887.0
2026-07-08,381170,32050.0
2026-07-08,385710,10805.0
2026-07-08,385720,27570.0
2026-07-08,387270,27205.0
2026-07-08,391670,30405.0
2026-07-08,402970,15723.0
2026-07-08,403790,61265.0
2026-07-08,404120,24120.0
2026-07-08,404260,23170.0
2026-07-08,404540,23300.0
2026-07-08,404650,23249.0
2026-07-08,407310,17565.0
2026-07-08,407830,16270.0
2026-07-08,411540,17955.0
2026-07-08,426020,34625.0
2026-07-08,426030,51135.0
2026-07-08,429760,20718.0
2026-07-08,432840,20893.0
2026-07-08,433220,33060.0
2026-07-08,433250,24785.0
2026-07-08,433330,23253.0
2026-07-08,434960,117643.0
2026-07-08,438740,34150.0
2026-07-08,441640,13198.0
2026-07-08,441800,30855.0
2026-07-08,442260,40980.0
2026-07-08,444490,21365.0
2026-07-08,446720,14154.0
2026-07-08,448100,120113.0
2026-07-08,448290,17394.0
2026-07-08,448300,22663.0
2026-07-08,448570,31195.0
2026-07-08,449180,16744.0
2026-07-08,449190,21953.0
2026-07-08,449770,22307.0
2026-07-08,449780,18344.0
2026-07-08,450910,13290.0
2026-07-08,451060,37435.0
2026-07-08,451150,19510.0
2026-07-08,452360,12797.0
2026-07-08,453080,22733.0
2026-07-08,453330,17724.0
2026-07-08,453810,12851.0
2026-07-08,453870,12682.0
2026-07-08,458730,15464.0
2026-07-08,461450,14605.0
2026-07-08,461580,14900.0
2026-07-08,462340,17640.0
2026-07-08,463050,12830.0
2026-07-08,463300,14681.0
2026-07-08,469050,32874.0
2026-07-08,469060,39267.0
2026-07-08,471780,37205.0
2026-07-08,472150,21641.0
2026-07-08,472160,18055.0
2026-07-08,472720,26670.0
2026-07-08,472840,115836.0
2026-07-08,474920,20505.0
2026-07-08,476030,18283.0
2026-07-08,476850,22239.0
2026-07-08,477490,20820.0
2026-07-08,489250,13333.0
2026-07-08,491220,138355.0
2026-07-08,491700,118535.0
2026-07-08,494890,33604.0
2026-07-08,495040,33987.0
2026-07-08,495050,34694.0
2026-07-08,495060,32150.0
2026-07-08,495230,33428.0
2026-07-08,495330,34013.0
2026-07-08,495750,34407.0
