date,close,source
2014-04-09,20843.0,NAVER_FDR
2014-04-10,20899.0,NAVER_FDR
2014-04-11,20733.0,NAVER_FDR
2014-04-14,20800.0,NAVER_FDR
2014-04-15,20677.0,NAVER_FDR
2014-04-16,20767.0,NAVER_FDR
2014-04-17,20733.0,NAVER_FDR
2014-04-18,20890.0,NAVER_FDR
2014-04-21,20860.0,NAVER_FDR
2014-04-22,20855.0,NAVER_FDR
2014-04-23,20830.0,NAVER_FDR
2014-04-24,20813.0,NAVER_FDR
2014-04-25,20510.0,NAVER_FDR
2014-04-28,20515.0,NAVER_FDR
2014-04-29,20430.0,NAVER_FDR
2014-04-30,20419.0,NAVER_FDR
2014-05-02,20346.0,NAVER_FDR
2014-05-07,20149.0,NAVER_FDR
2014-05-08,20241.0,NAVER_FDR
2014-05-09,20269.0,NAVER_FDR
2014-05-12,20397.0,NAVER_FDR
2014-05-13,20676.0,NAVER_FDR
2014-05-14,20937.0,NAVER_FDR
2014-05-15,20941.0,NAVER_FDR
2014-05-16,20931.0,NAVER_FDR
2014-05-19,20973.0,NAVER_FDR
2014-05-20,20946.0,NAVER_FDR
2014-05-21,20949.0,NAVER_FDR
2014-05-22,21060.0,NAVER_FDR
2014-05-23,21026.0,NAVER_FDR
2014-05-26,20990.0,NAVER_FDR
2014-05-27,20776.0,NAVER_FDR
2014-05-28,21006.0,NAVER_FDR
2014-05-29,20987.0,NAVER_FDR
2014-05-30,20811.0,NAVER_FDR
2014-06-02,20859.0,NAVER_FDR
2014-06-03,20880.0,NAVER_FDR
2014-06-05,20769.0,NAVER_FDR
2014-06-09,20765.0,NAVER_FDR
2014-06-10,20982.0,NAVER_FDR
2014-06-11,20966.0,NAVER_FDR
2014-06-12,20889.0,NAVER_FDR
2014-06-13,20635.0,NAVER_FDR
2014-06-16,20743.0,NAVER_FDR
2014-06-17,20781.0,NAVER_FDR
2014-06-18,20659.0,NAVER_FDR
2014-06-19,20712.0,NAVER_FDR
2014-06-20,20411.0,NAVER_FDR
2014-06-23,20524.0,NAVER_FDR
2014-06-24,20751.0,NAVER_FDR
2014-06-25,20635.0,NAVER_FDR
2014-06-26,20769.0,NAVER_FDR
