number,value,datetime_start,datetime_complete,duration,bear_rsi_boost,bear_size_mult,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
12,-2.2776792068173366,2025-12-27 17:21:10.763133,2025-12-27 17:21:19.482558,0 days 00:00:08.719425,1,0.8,100,10,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 112, 'val_is_capped': False, 'val_sharpe': -0.07901330677929445, 'score': -0.07901330677929445}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 356, 'val_is_capped': False, 'val_sharpe': -2.2776792068173366, 'score': -2.2776792068173366}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 356, 'val_is_capped': False, 'val_sharpe': -2.2776792068173366, 'score': -2.2776792068173366}}",,True,COMPLETE
11,-2.2776792068173366,2025-12-27 17:21:02.097155,2025-12-27 17:21:10.756248,0 days 00:00:08.659093,1,1.0,100,10,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 112, 'val_is_capped': False, 'val_sharpe': -0.07901330677929445, 'score': -0.07901330677929445}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 356, 'val_is_capped': False, 'val_sharpe': -2.2776792068173366, 'score': -2.2776792068173366}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 356, 'val_is_capped': False, 'val_sharpe': -2.2776792068173366, 'score': -2.2776792068173366}}",,True,COMPLETE
23,-2.3402370178733083,2025-12-27 17:22:49.068148,2025-12-27 17:22:58.166238,0 days 00:00:09.098090,3,0.7000000000000001,60,14,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 280, 'val_is_capped': False, 'val_sharpe': -2.0742056975592864, 'score': -2.0742056975592864}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 524, 'val_is_capped': False, 'val_sharpe': -2.3402370178733083, 'score': -2.3402370178733083}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 524, 'val_is_capped': False, 'val_sharpe': -2.3402370178733083, 'score': -2.3402370178733083}}",,True,COMPLETE
2,-2.3536546842793085,2025-12-27 17:19:44.517697,2025-12-27 17:19:53.673418,0 days 00:00:09.155721,4,0.2,40,59,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.7773766851129271, 'score': -1.7773766851129271}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3536546842793085, 'score': -2.3536546842793085}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3536546842793085, 'score': -2.3536546842793085}}",,True,COMPLETE
19,-2.3701071329079135,2025-12-27 17:22:13.779263,2025-12-27 17:22:23.076949,0 days 00:00:09.297686,5,0.6,40,53,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.7621881438010603, 'score': -1.7621881438010603}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3701071329079135, 'score': -2.3701071329079135}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3701071329079135, 'score': -2.3701071329079135}}",,True,COMPLETE
43,-2.388951631649894,2025-12-27 17:25:50.752536,2025-12-27 17:26:00.575896,0 days 00:00:09.823360,18,0.9,40,35,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.778354331094444, 'score': -1.778354331094444}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.388951631649894, 'score': -2.388951631649894}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.388951631649894, 'score': -2.388951631649894}}",,True,COMPLETE
33,-2.3994501165639357,2025-12-27 17:24:14.177505,2025-12-27 17:24:23.970211,0 days 00:00:09.792706,18,0.8,40,37,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.778354331094444, 'score': -1.778354331094444}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3994501165639357, 'score': -2.3994501165639357}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3994501165639357, 'score': -2.3994501165639357}}",,True,COMPLETE
30,-2.4167138182678745,2025-12-27 17:23:54.880635,2025-12-27 17:24:04.589768,0 days 00:00:09.709133,17,0.9,50,27,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7841367489870085, 'score': -0.7841367489870085}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4167138182678745, 'score': -2.4167138182678745}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4167138182678745, 'score': -2.4167138182678745}}",,True,COMPLETE
34,-2.4167138182678745,2025-12-27 17:24:23.976956,2025-12-27 17:24:33.615245,0 days 00:00:09.638289,15,1.0,50,28,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 274, 'val_is_capped': False, 'val_sharpe': -0.7020715638351585, 'score': -0.7020715638351585}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4167138182678745, 'score': -2.4167138182678745}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4167138182678745, 'score': -2.4167138182678745}}",,True,COMPLETE
15,-2.4199165195358354,2025-12-27 17:21:37.709981,2025-12-27 17:21:47.289427,0 days 00:00:09.579446,6,0.7000000000000001,40,38,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.7755910761296432, 'score': -1.7755910761296432}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4199165195358354, 'score': -2.4199165195358354}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4199165195358354, 'score': -2.4199165195358354}}",,True,COMPLETE
