number,value,datetime_start,datetime_complete,duration,bear_rsi_boost,bear_size_mult,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
37,-2.4508435157851074,2025-12-27 17:24:52.784383,2025-12-27 17:25:02.504042,0 days 00:00:09.719659,7,0.4,40,32,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.8043120031425546, 'score': -1.8043120031425546}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4508435157851074, 'score': -2.4508435157851074}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4508435157851074, 'score': -2.4508435157851074}}",,True,COMPLETE
36,-2.5324199101780938,2025-12-27 17:24:43.326778,2025-12-27 17:24:52.777270,0 days 00:00:09.450492,12,0.7000000000000001,90,43,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.07225554989943828, 'score': 0.07225554989943828}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.5324199101780938, 'score': -2.5324199101780938}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.5324199101780938, 'score': -2.5324199101780938}}",,True,COMPLETE
21,-2.533034109710517,2025-12-27 17:22:31.613423,2025-12-27 17:22:40.498453,0 days 00:00:08.885030,0,0.9,90,14,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 160, 'val_is_capped': False, 'val_sharpe': -0.8362745483789994, 'score': -0.8362745483789994}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.533034109710517, 'score': -2.533034109710517}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.533034109710517, 'score': -2.533034109710517}}",,True,COMPLETE
45,-2.5468259948376173,2025-12-27 17:26:10.268341,2025-12-27 17:26:19.940026,0 days 00:00:09.671685,18,1.0,50,24,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.660060058012837, 'score': -1.660060058012837}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.5468259948376173, 'score': -2.5468259948376173}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.5468259948376173, 'score': -2.5468259948376173}}",,True,COMPLETE
18,-2.5582632542556403,2025-12-27 17:22:04.908189,2025-12-27 17:22:13.773533,0 days 00:00:08.865344,15,0.8,80,33,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 194, 'val_is_capped': False, 'val_sharpe': 0.40775617988360424, 'score': 0.40775617988360424}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 442, 'val_is_capped': False, 'val_sharpe': -2.5582632542556403, 'score': -2.5582632542556403}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 442, 'val_is_capped': False, 'val_sharpe': -2.5582632542556403, 'score': -2.5582632542556403}}",,True,COMPLETE
8,-2.614133222958909,2025-12-27 17:20:35.931312,2025-12-27 17:20:45.106384,0 days 00:00:09.175072,19,0.30000000000000004,60,35,0.05,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': 0.446277523588055, 'score': 0.446277523588055}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.614133222958909, 'score': -2.614133222958909}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.614133222958909, 'score': -2.614133222958909}}",,True,COMPLETE
29,-2.718992424387204,2025-12-27 17:23:45.250354,2025-12-27 17:23:54.873452,0 days 00:00:09.623098,13,1.0,80,35,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 194, 'val_is_capped': False, 'val_sharpe': 0.4290869503770754, 'score': 0.4290869503770754}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 442, 'val_is_capped': False, 'val_sharpe': -2.718992424387204, 'score': -2.718992424387204}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 442, 'val_is_capped': False, 'val_sharpe': -2.718992424387204, 'score': -2.718992424387204}}",,True,COMPLETE
27,-2.7307502423513967,2025-12-27 17:23:26.121268,2025-12-27 17:23:35.606572,0 days 00:00:09.485304,14,1.0,80,40,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 194, 'val_is_capped': False, 'val_sharpe': 0.35991861849042284, 'score': 0.35991861849042284}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 444, 'val_is_capped': False, 'val_sharpe': -2.7307502423513967, 'score': -2.7307502423513967}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 444, 'val_is_capped': False, 'val_sharpe': -2.7307502423513967, 'score': -2.7307502423513967}}",,True,COMPLETE
17,-2.734104150185042,2025-12-27 17:21:55.656329,2025-12-27 17:22:04.902666,0 days 00:00:09.246337,4,0.7000000000000001,60,42,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': 0.4144983680661576, 'score': 0.4144983680661576}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.734104150185042, 'score': -2.734104150185042}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.734104150185042, 'score': -2.734104150185042}}",,True,COMPLETE
49,-2.8247329420770484,2025-12-27 17:26:47.843503,2025-12-27 17:26:57.143502,0 days 00:00:09.299999,15,0.9,90,18,0.07,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 158, 'val_is_capped': False, 'val_sharpe': -0.7668113495388836, 'score': -0.7668113495388836}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 408, 'val_is_capped': False, 'val_sharpe': -2.8247329420770484, 'score': -2.8247329420770484}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 408, 'val_is_capped': False, 'val_sharpe': -2.8247329420770484, 'score': -2.8247329420770484}}",,True,COMPLETE
44,-2.9578614646039614,2025-12-27 17:26:00.582506,2025-12-27 17:26:10.262432,0 days 00:00:09.679926,16,0.8,60,23,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 278, 'val_is_capped': False, 'val_sharpe': -1.9806359418113475, 'score': -1.9806359418113475}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.9578614646039614, 'score': -2.9578614646039614}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.9578614646039614, 'score': -2.9578614646039614}}",,True,COMPLETE
46,-2.9642552631613626,2025-12-27 17:26:19.947284,2025-12-27 17:26:29.617436,0 days 00:00:09.670152,20,1.0,60,28,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 272, 'val_is_capped': False, 'val_sharpe': 0.38866988077553416, 'score': 0.38866988077553416}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.9642552631613626, 'score': -2.9642552631613626}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.9642552631613626, 'score': -2.9642552631613626}}",,True,COMPLETE
38,-2.9783943212846378,2025-12-27 17:25:02.511583,2025-12-27 17:25:12.282353,0 days 00:00:09.770770,20,0.8,60,21,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 278, 'val_is_capped': False, 'val_sharpe': -2.083038966486595, 'score': -2.083038966486595}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.9783943212846378, 'score': -2.9783943212846378}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 528, 'val_is_capped': False, 'val_sharpe': -2.9783943212846378, 'score': -2.9783943212846378}}",,True,COMPLETE
42,-3.1098234140910757,2025-12-27 17:25:40.964646,2025-12-27 17:25:50.745623,0 days 00:00:09.780977,20,1.0,70,29,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 230, 'val_is_capped': False, 'val_sharpe': -0.391433270669981, 'score': -0.391433270669981}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.1098234140910757, 'score': -3.1098234140910757}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.1098234140910757, 'score': -3.1098234140910757}}",,True,COMPLETE
13,-3.1197135616049314,2025-12-27 17:21:19.488287,2025-12-27 17:21:28.502712,0 days 00:00:09.014425,16,0.8,70,45,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 230, 'val_is_capped': False, 'val_sharpe': -0.3695820781404505, 'score': -0.3695820781404505}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.1197135616049314, 'score': -3.1197135616049314}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.1197135616049314, 'score': -3.1197135616049314}}",,True,COMPLETE
48,-3.1974596409751985,2025-12-27 17:26:38.159160,2025-12-27 17:26:47.837639,0 days 00:00:09.678479,19,0.8,70,40,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 230, 'val_is_capped': False, 'val_sharpe': -0.34795304501556396, 'score': -0.34795304501556396}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.1974596409751985, 'score': -3.1974596409751985}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.1974596409751985, 'score': -3.1974596409751985}}",,True,COMPLETE
32,-3.221843564247016,2025-12-27 17:24:04.642548,2025-12-27 17:24:14.171792,0 days 00:00:09.529244,17,1.0,70,33,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 230, 'val_is_capped': False, 'val_sharpe': -0.34564982205498856, 'score': -0.34564982205498856}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.221843564247016, 'score': -3.221843564247016}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 486, 'val_is_capped': False, 'val_sharpe': -3.221843564247016, 'score': -3.221843564247016}}",,True,COMPLETE
3,-3.4329633380515636,2025-12-27 17:19:53.682341,2025-12-27 17:20:02.839703,0 days 00:00:09.157362,9,0.30000000000000004,70,25,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 236, 'val_is_capped': False, 'val_sharpe': -1.7355967590905588, 'score': -1.7355967590905588}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 488, 'val_is_capped': False, 'val_sharpe': -3.4329633380515636, 'score': -3.4329633380515636}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 488, 'val_is_capped': False, 'val_sharpe': -3.4329633380515636, 'score': -3.4329633380515636}}",,True,COMPLETE
35,-3.446602879629067,2025-12-27 17:24:33.621581,2025-12-27 17:24:43.321104,0 days 00:00:09.699523,10,0.9,70,23,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 234, 'val_is_capped': False, 'val_sharpe': -1.4079128912548966, 'score': -1.4079128912548966}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 488, 'val_is_capped': False, 'val_sharpe': -3.446602879629067, 'score': -3.446602879629067}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 488, 'val_is_capped': False, 'val_sharpe': -3.446602879629067, 'score': -3.446602879629067}}",,True,COMPLETE
5,-999.0,2025-12-27 17:20:11.140558,2025-12-27 17:20:19.284216,0 days 00:00:08.143658,12,0.1,170,20,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 86, 'val_is_capped': False, 'val_sharpe': -2.9711994138062217, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 86, 'val_is_capped': False, 'val_sharpe': -2.9711994138062217, 'score': -999.0}}",exposure_ratio(0.03) < 0.1,False,COMPLETE
0,-999.0,2025-12-27 17:19:20.836932,2025-12-27 17:19:35.129836,0 days 00:00:14.292904,12,0.2,100,58,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 114, 'val_is_capped': False, 'val_sharpe': 1.0711166234963423, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 358, 'val_is_capped': False, 'val_sharpe': -2.0868517632958326, 'score': -2.0868517632958326}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 358, 'val_is_capped': False, 'val_sharpe': -2.0868517632958326, 'score': -2.0868517632958326}}",Unknown Error,False,COMPLETE
9,-999.0,2025-12-27 17:20:45.111790,2025-12-27 17:20:53.396635,0 days 00:00:08.284845,11,0.2,150,25,0.1,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 164, 'val_is_capped': False, 'val_sharpe': -3.330932973933103, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 164, 'val_is_capped': False, 'val_sharpe': -3.330932973933103, 'score': -999.0}}",exposure_ratio(0.07) < 0.1,False,COMPLETE
16,-999.0,2025-12-27 17:21:47.295694,2025-12-27 17:21:55.651048,0 days 00:00:08.355354,8,0.6,200,49,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}}",num_trades(0) < 10,False,COMPLETE
6,-999.0,2025-12-27 17:20:19.289707,2025-12-27 17:20:27.678516,0 days 00:00:08.388809,19,1.0,140,18,0.05,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 206, 'val_is_capped': False, 'val_sharpe': -1.1002180026146706, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 206, 'val_is_capped': False, 'val_sharpe': -1.1002180026146706, 'score': -999.0}}",exposure_ratio(0.08) < 0.1,False,COMPLETE
7,-999.0,2025-12-27 17:20:27.684068,2025-12-27 17:20:35.925357,0 days 00:00:08.241289,14,0.5,170,25,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 84, 'val_is_capped': False, 'val_sharpe': -2.996018851901164, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 84, 'val_is_capped': False, 'val_sharpe': -2.996018851901164, 'score': -999.0}}",exposure_ratio(0.03) < 0.1,False,COMPLETE
4,-999.0,2025-12-27 17:20:02.845691,2025-12-27 17:20:11.134776,0 days 00:00:08.289085,7,0.5,140,17,0.08,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 206, 'val_is_capped': False, 'val_sharpe': -1.075732049438026, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 206, 'val_is_capped': False, 'val_sharpe': -1.075732049438026, 'score': -999.0}}",exposure_ratio(0.08) < 0.1,False,COMPLETE
20,-999.0,2025-12-27 17:22:23.083066,2025-12-27 17:22:31.607435,0 days 00:00:08.524369,10,0.9,120,30,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 40, 'val_is_capped': False, 'val_sharpe': -2.8903517597059514, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 278, 'val_is_capped': False, 'val_sharpe': -0.633697470278935, 'score': -0.633697470278935}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 278, 'val_is_capped': False, 'val_sharpe': -0.633697470278935, 'score': -0.633697470278935}}",Unknown Error,False,COMPLETE
