ticker,name,feature_complete,exclusion_reason,price_momentum_3m,price_momentum_6m,volatility_20d,liquidity_20d,turnover_rate,drawdown_from_high,price_momentum_3m_norm,price_momentum_6m_norm,volatility_20d_norm,liquidity_20d_norm,turnover_rate_norm,drawdown_from_high_norm,scoring_eligible,composite_score,rank,selected,selection_reason,fallback_stage
069500,KODEX 200,True,,29.625838901641988,69.18893129770993,64.48404330161499,1670928463662.0,1.4715084930407167,-6.70349907918969,0.7771084337349398,0.7763975155279503,0.34172284844290424,1.0,0.7426900584795322,0.1732694904849602,True,0.6812664153889569,22,N,excluded_low_score,
360750,TIGER 미국S&P500,True,,-1.3865975331919245,7.0804009383663935,11.715894011579078,298295713070.0,1.7772559405350796,-1.3865975331919245,0.23493975903614459,0.35403726708074534,0.7015888195194544,0.9644970414201184,0.8830409356725146,0.035840244810313227,True,0.48309037831621116,78,N,excluded_low_score,
396500,TIGER 반도체TOP10,True,,46.714070243482,96.62142650880739,76.20787643885947,608371080566.5,2.0674941126619504,-5.66638958160155,0.9397590361445783,0.968944099378882,0.2617691518771127,0.9940828402366864,0.9532163742690059,0.1464626792806344,True,0.7740622348911839,1,Y,selected_top_n,
133690,TIGER 미국나스닥100,True,,-1.9811994288434054,5.717402464065713,15.055104506722403,113576072751.5,1.510054206774795,-2.0045205805377164,0.1927710843373494,0.2795031055900621,0.6788162143848895,0.9349112426035503,0.7719298245614035,0.05181208433885098,True,0.43816525585750865,92,N,excluded_low_score,
379800,KODEX 미국S&P500,True,,-1.4008852219500656,7.099514563106801,11.346875067439456,333514252542.0,2.1672833195419674,-1.4008852219500656,0.22289156626506024,0.36024844720496896,0.7041054391558289,0.9704142011834319,0.9649122807017544,0.036209547546404486,True,0.4902072881962169,75,N,excluded_low_score,
488770,KODEX 머니마켓액티브,True,,0.7357924290831708,1.4775442531818506,0.11988492714173109,63852618113.25,1.0943161878777266,0.0,0.3614457831325301,0.19254658385093168,0.7806707870686085,0.8402366863905325,0.5380116959064327,0.0,True,0.44388034231945983,91,N,excluded_low_score,
102110,TIGER 200,True,,29.81852773306015,69.46545926944827,64.02604920515621,394918674319.5,1.4141508653203492,-6.5968200484363475,0.8313253012048193,0.8198757763975155,0.34484625702340166,0.9763313609467456,0.7134502923976608,0.17051209153767855,True,0.6999456267300049,13,Y,selected_top_n,
229200,KODEX 코스닥150,True,,17.04473850031507,30.62587904360057,52.8066370062487,514696802188.25,1.4310503365605607,-11.966824644549767,0.5843373493975904,0.5714285714285714,0.42135992521510257,0.9881656804733728,0.7192982456140351,0.3093139246219816,True,0.6038769769818643,41,N,excluded_low_score,
278530,KODEX 200TR,True,,29.756097560975615,69.56175298804781,64.1716956268849,38515160816.0,1.3095344159506042,-7.020099038741623,0.8072289156626506,0.8322981366459627,0.34385298377629325,0.7514792899408284,0.6374269005847953,0.18145284562995012,True,0.6548161177070305,30,N,excluded_low_score,
379810,KODEX 미국나스닥100,True,,-1.997379184370407,5.736686517287182,15.107827997568599,118168770417.0,1.9811555293612495,-1.997379184370407,0.18674698795180722,0.2919254658385093,0.6784566529735611,0.9408284023668639,0.9298245614035088,0.051627496251250404,True,0.4554471536197837,85,N,excluded_low_score,
411060,ACE KRX금현물,True,,3.9167486070140978,3.239986974926734,39.514793266741535,67371529282.25,0.7708140761234965,-16.32356822380575,0.43373493975903615,0.2236024844720497,0.5120070735246742,0.863905325443787,0.23391812865497075,0.4219253729467506,True,0.44681218882756213,88,N,excluded_low_score,
091160,KODEX 반도체,True,,48.4149855907781,90.59955588452996,75.07716225613066,450756058003.5,2.053626037940838,-2.2770398481973486,0.9518072289156626,0.9254658385093167,0.26948034817359845,0.9822485207100592,0.9415204678362573,0.05885605855245335,True,0.7584323193479818,2,Y,selected_top_n,
498400,KODEX 200타겟위클리커버드콜,True,,26.66666666666666,58.25176026103382,60.46387114926777,148179626299.75,1.7603546680252506,-6.246820632821248,0.7289156626506024,0.7267080745341615,0.36913944680695787,0.9526627218934911,0.8771929824561403,0.16146543997597018,True,0.6661524812502915,29,N,excluded_low_score,
273130,KODEX 종합채권(AA-이상)액티브,True,,-1.1467689892735722,-3.3763510518599382,6.772396587490238,6517677848.25,1.0982886650091963,-1.1467689892735722,0.25301204819277107,0.08074534161490683,0.7353022721413389,0.26627218934911245,0.543859649122807,0.02964124797036649,True,0.29963894171369776,133,N,excluded_low_score,
381180,TIGER 미국필라델피아반도체나스닥,True,,13.799162048925528,32.92288262688452,35.45579610428723,72715104618.75,1.5603303434354798,0.0,0.5602409638554217,0.5838509316770186,0.5396884490346432,0.8816568047337278,0.7953216374269005,0.0,True,0.5775764272999759,50,N,excluded_low_score,
381170,TIGER 미국테크TOP10 INDXX,True,,-5.679999999999996,1.7642590802375402,21.505087404082275,52329625726.5,0.8137485940338667,-5.679999999999996,0.10240963855421686,0.20496894409937888,0.6348288964665056,0.8106508875739645,0.2631578947368421,0.14681447619047616,True,0.3295358850849432,122,N,excluded_low_score,
148020,RISE 200,True,,29.804205946337923,69.60715571642442,64.4658562675602,151772429239.5,1.3286978115971464,-6.576200417536537,0.8253012048192772,0.8385093167701864,0.34184687960107807,0.9585798816568047,0.6608187134502924,0.16997912317327768,True,0.6934360226508599,19,N,excluded_low_score,
360200,ACE 미국S&P500,True,,-1.3868386294771162,7.109704641350212,11.33800470440603,17422298082.75,0.8949325322944287,-1.3868386294771162,0.2289156626506024,0.36645962732919257,0.7041659328788374,0.5443786982248521,0.38011695906432746,0.035846476575246644,True,0.37084466249053005,107,N,excluded_low_score,
458730,TIGER 미국배당다우존스,True,,9.891353553644189,22.425821635706477,10.233849136794069,28344504377.25,1.3164960133687282,-2.3138832997987913,0.4819277108433735,0.5031055900621118,0.7116960058661288,0.6449704142011834,0.6549707602339181,0.05980837405384676,True,0.5201773077043077,61,N,excluded_low_score,
0043B0,TIGER 머니마켓액티브,True,,0.7346415540873785,1.4237348715759435,0.08166006435673494,14386774209.0,1.3408725447223837,0.0,0.35542168674698793,0.18012422360248448,0.7809314713554457,0.4437869822485207,0.6783625730994152,0.0,True,0.3941953760951298,103,N,excluded_low_score,
367380,ACE 미국나스닥100,True,,-1.9516246236893964,5.7157780845427775,15.064997568926747,20200502114.75,1.0526075881905106,-1.968585662884026,0.19879518072289157,0.2732919254658385,0.6787487461017492,0.591715976331361,0.52046783625731,0.05088325227683088,True,0.3620017565284158,111,N,excluded_low_score,
102780,KODEX 삼성그룹,True,,29.909560723514204,64.16326530612244,58.496103304361455,15162476765.5,1.1832160424688907,-3.595397890699903,0.8554216867469879,0.7577639751552795,0.38255914592257834,0.48520710059171596,0.5847953216374269,0.09293247500342405,True,0.6061170176963815,40,N,excluded_low_score,
