number,value,datetime_start,datetime_complete,duration,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
5,-3.3223066207890715,2025-12-27 14:00:18.851643,2025-12-27 14:00:29.115275,0 days 00:00:10.263632,70,25,0.1,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 240, 'val_is_capped': False, 'val_sharpe': -2.113620198898586, 'score': -2.113620198898586}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -3.3223066207890715, 'score': -3.3223066207890715}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 490, 'val_is_capped': False, 'val_sharpe': -3.3223066207890715, 'score': -3.3223066207890715}}",,True,COMPLETE
0,-999.0,2025-12-27 13:59:24.789039,2025-12-27 13:59:40.026141,0 days 00:00:15.237102,100,58,0.13,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 120, 'val_is_capped': False, 'val_sharpe': 0.689854434018577, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 370, 'val_is_capped': False, 'val_sharpe': -2.0691118508990307, 'score': -2.0691118508990307}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 370, 'val_is_capped': False, 'val_sharpe': -2.0691118508990307, 'score': -2.0691118508990307}}",Unknown Error,False,COMPLETE
3,-999.0,2025-12-27 14:00:00.079198,2025-12-27 14:00:09.563484,0 days 00:00:09.484286,160,11,0.15,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 126, 'val_is_capped': False, 'val_sharpe': -3.8945914860169637, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 126, 'val_is_capped': False, 'val_sharpe': -3.8945914860169637, 'score': -999.0}}",exposure_ratio(0.05) < 0.1,False,COMPLETE
1,-999.0,2025-12-27 13:59:40.032664,2025-12-27 13:59:49.712602,0 days 00:00:09.679938,140,17,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 210, 'val_is_capped': False, 'val_sharpe': -0.7792143918059083, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 210, 'val_is_capped': False, 'val_sharpe': -0.7792143918059083, 'score': -999.0}}",exposure_ratio(0.08) < 0.1,False,COMPLETE
4,-999.0,2025-12-27 14:00:09.569376,2025-12-27 14:00:18.844304,0 days 00:00:09.274928,180,20,0.07,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 50, 'val_is_capped': False, 'val_sharpe': -2.6097773800398567, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 50, 'val_is_capped': False, 'val_sharpe': -2.6097773800398567, 'score': -999.0}}",exposure_ratio(0.02) < 0.1,False,COMPLETE
6,-999.0,2025-12-27 14:00:29.122202,2025-12-27 14:00:38.821090,0 days 00:00:09.698888,110,24,0.11,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 80, 'val_is_capped': False, 'val_sharpe': -1.4936254604769013, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 330, 'val_is_capped': False, 'val_sharpe': -2.2256038849013646, 'score': -2.2256038849013646}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 330, 'val_is_capped': False, 'val_sharpe': -2.2256038849013646, 'score': -2.2256038849013646}}",Unknown Error,False,COMPLETE
8,-999.0,2025-12-27 14:00:49.663991,2025-12-27 14:01:00.098422,0 days 00:00:10.434431,110,50,0.07,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 80, 'val_is_capped': False, 'val_sharpe': -1.2013785527556509, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 330, 'val_is_capped': False, 'val_sharpe': -1.9537863264085824, 'score': -1.9537863264085824}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 330, 'val_is_capped': False, 'val_sharpe': -1.9537863264085824, 'score': -1.9537863264085824}}",Unknown Error,False,COMPLETE
9,-999.0,2025-12-27 14:01:00.104381,2025-12-27 14:01:10.838835,0 days 00:00:10.734454,120,40,0.05,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 40, 'val_is_capped': False, 'val_sharpe': -2.8643737149198087, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 290, 'val_is_capped': False, 'val_sharpe': -0.605888482320588, 'score': -0.605888482320588}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 290, 'val_is_capped': False, 'val_sharpe': -0.605888482320588, 'score': -0.605888482320588}}",Unknown Error,False,COMPLETE
18,-999.0,2025-12-27 14:02:37.305294,2025-12-27 14:02:47.586818,0 days 00:00:10.281524,140,11,0.15,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 204, 'val_is_capped': False, 'val_sharpe': -0.004167447755090677, 'score': -0.004167447755090677}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 204, 'val_is_capped': False, 'val_sharpe': -0.004167447755090677, 'score': -0.004167447755090677}}",Unknown Error,False,COMPLETE
19,-999.0,2025-12-27 14:02:47.593207,2025-12-27 14:02:57.055694,0 days 00:00:09.462487,200,16,0.14,"{'3': {'requested_lb': 3, 'effective_lb': 'N/A', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': 'N/A', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}}",num_trades(0) < 10,False,COMPLETE
