number,value,datetime_start,datetime_complete,duration,bear_rsi_boost,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
17,-2.3701071329079135,2025-12-27 17:48:25.041535,2025-12-27 17:48:34.360740,0 days 00:00:09.319205,12,40,51,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.7621881438010603, 'score': -1.7621881438010603}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3701071329079135, 'score': -2.3701071329079135}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3701071329079135, 'score': -2.3701071329079135}}",,True,COMPLETE
11,-2.3994823092807667,2025-12-27 17:47:31.540829,2025-12-27 17:47:40.644327,0 days 00:00:09.103498,15,40,30,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.8345266693221443, 'score': -1.8345266693221443}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3994823092807667, 'score': -2.3994823092807667}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.3994823092807667, 'score': -2.3994823092807667}}",,True,COMPLETE
21,-2.4078934972606936,2025-12-27 17:49:00.182626,2025-12-27 17:49:09.239660,0 days 00:00:09.057034,15,40,29,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.8345266693221443, 'score': -1.8345266693221443}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4078934972606936, 'score': -2.4078934972606936}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4078934972606936, 'score': -2.4078934972606936}}",,True,COMPLETE
12,-2.4078934972606936,2025-12-27 17:47:40.650412,2025-12-27 17:47:49.911363,0 days 00:00:09.260951,15,40,29,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.8345266693221443, 'score': -1.8345266693221443}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4078934972606936, 'score': -2.4078934972606936}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4078934972606936, 'score': -2.4078934972606936}}",,True,COMPLETE
44,-2.407948270390057,2025-12-27 17:52:36.021939,2025-12-27 17:52:45.650021,0 days 00:00:09.628082,9,40,45,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.8065205535217925, 'score': -1.8065205535217925}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.407948270390057, 'score': -2.407948270390057}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.407948270390057, 'score': -2.407948270390057}}",,True,COMPLETE
10,-2.4351223788376664,2025-12-27 17:47:22.463691,2025-12-27 17:47:31.534124,0 days 00:00:09.070433,15,40,34,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 276, 'val_is_capped': False, 'val_sharpe': -1.778354331094444, 'score': -1.778354331094444}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4351223788376664, 'score': -2.4351223788376664}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 526, 'val_is_capped': False, 'val_sharpe': -2.4351223788376664, 'score': -2.4351223788376664}}",,True,COMPLETE
37,-2.5324199101780938,2025-12-27 17:51:30.976767,2025-12-27 17:51:40.259566,0 days 00:00:09.282799,16,90,44,0.14,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.07225554989943828, 'score': 0.07225554989943828}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.5324199101780938, 'score': -2.5324199101780938}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.5324199101780938, 'score': -2.5324199101780938}}",,True,COMPLETE
9,-2.533034109710517,2025-12-27 17:47:13.719754,2025-12-27 17:47:22.458123,0 days 00:00:08.738369,9,90,14,0.12000000000000001,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 160, 'val_is_capped': False, 'val_sharpe': -0.8362745483789994, 'score': -0.8362745483789994}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.533034109710517, 'score': -2.533034109710517}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 404, 'val_is_capped': False, 'val_sharpe': -2.533034109710517, 'score': -2.533034109710517}}",,True,COMPLETE
47,-2.542712134663058,2025-12-27 17:53:04.670912,2025-12-27 17:53:13.936066,0 days 00:00:09.265154,16,90,50,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.048509312963289114, 'score': 0.048509312963289114}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 402, 'val_is_capped': False, 'val_sharpe': -2.542712134663058, 'score': -2.542712134663058}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 402, 'val_is_capped': False, 'val_sharpe': -2.542712134663058, 'score': -2.542712134663058}}",,True,COMPLETE
4,-2.548887918954601,2025-12-27 17:46:30.254354,2025-12-27 17:46:39.193937,0 days 00:00:08.939583,6,90,36,0.09,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 156, 'val_is_capped': False, 'val_sharpe': 0.14303982958979483, 'score': 0.14303982958979483}, '6': {'requested_lb': 6, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 402, 'val_is_capped': False, 'val_sharpe': -2.548887918954601, 'score': -2.548887918954601}, '12': {'requested_lb': 12, 'effective_lb': '370d', 'val_effective_start_date': '2022-12-26 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 122, 'val_trades': 402, 'val_is_capped': False, 'val_sharpe': -2.548887918954601, 'score': -2.548887918954601}}",,True,COMPLETE
