date,ticker,side,qty,price,gross_amount,commission,tax,slippage,total_cost,net_amount,reason
2024-02-14,456600,BUY,233,17080.0,3979640.0,600.0,0.0,4000.0,4600.0,3984240.0,rebalance
2024-02-14,434730,BUY,343,11635.0,3990805.0,600.0,0.0,4000.0,4600.0,3995405.0,rebalance
2024-02-15,364980,BUY,149,13540.0,2017460.0,303.05325,0.0,2020.355,2323.40825,2019783.40825,rebalance
2024-02-16,456600,SELL,46,17815.0,819490.0,122.92349999999999,0.0,819.49,942.4135,818547.5865,regime_reduce_neutral_80%
2024-02-16,434730,SELL,68,11840.0,805120.0,120.76799999999999,0.0,805.12,925.888,804194.112,regime_reduce_neutral_80%
2024-02-16,364980,SELL,29,13970.0,405130.0,60.769499999999994,0.0,405.13,465.8995,404664.1005,regime_reduce_neutral_80%
2024-02-16,371460,BUY,229,7165.0,1640785.0,247.00277737800002,0.0,1646.6851825200004,1893.6879598980004,1642678.687959898,rebalance
2024-02-19,456600,SELL,31,17395.0,539245.0,80.88674999999999,0.0,539.245,620.13175,538624.86825,regime_reduce_neutral_80%
2024-02-19,434730,SELL,46,12310.0,566260.0,84.939,0.0,566.26,651.199,565608.801,regime_reduce_neutral_80%
2024-02-19,364980,SELL,20,13645.0,272900.0,40.934999999999995,0.0,272.9,313.835,272586.165,regime_reduce_neutral_80%
2024-02-19,371460,SELL,38,6965.0,264670.0,39.7005,0.0,264.67,304.3705,264365.6295,regime_reduce_neutral_80%
2024-02-19,371460,SELL,191,6965.0,1330315.0,199.54725,0.0,1330.315,1529.8622500000001,1328785.13775,rebalance
2024-02-19,445290,BUY,137,14940.0,2046780.0,307.57137912870303,0.0,2050.4758608580205,2358.0472399867235,2049138.0472399867,rebalance
2024-02-20,456600,SELL,13,17380.0,225940.0,33.891,0.0,225.94,259.831,225680.169,regime_reduce_neutral_80%
2024-02-20,434730,SELL,19,12435.0,236265.0,35.43975,0.0,236.26500000000001,271.70475,235993.29525,regime_reduce_neutral_80%
2024-02-20,364980,SELL,8,13805.0,110440.0,16.566,0.0,110.44,127.006,110312.994,regime_reduce_neutral_80%
2024-02-20,445290,SELL,11,14900.0,163900.0,24.584999999999997,0.0,163.9,188.485,163711.515,regime_reduce_neutral_80%
2024-02-20,463250,BUY,144,11370.0,1637280.0,246.86350152720277,0.0,1645.7566768480185,1892.6201783752213,1639172.6201783752,rebalance
2024-02-21,456600,SELL,23,16890.0,388470.0,58.2705,0.0,388.47,446.7405,388023.2595,regime_reduce_neutral_80%
2024-02-21,434730,SELL,35,12410.0,434350.0,65.15249999999999,0.0,434.35,499.5025,433850.4975,regime_reduce_neutral_80%
2024-02-21,364980,SELL,15,13865.0,207975.0,31.196249999999996,0.0,207.975,239.17125,207735.82875,regime_reduce_neutral_80%
2024-02-21,445290,SELL,21,14735.0,309435.0,46.41524999999999,0.0,309.435,355.85025,309079.14975,regime_reduce_neutral_80%
2024-02-21,463250,SELL,24,11370.0,272880.0,40.931999999999995,0.0,272.88,313.812,272566.188,regime_reduce_neutral_80%
2024-02-21,445290,SELL,105,14735.0,1547175.0,232.07625,0.0,1547.175,1779.25125,1545395.74875,rebalance
2024-02-21,371460,BUY,228,7140.0,1627920.0,244.5566947769218,0.0,1630.3779651794787,1874.9346599564005,1629794.9346599565,rebalance
2024-02-22,371460,SELL,228,7065.0,1610820.0,241.623,0.0,1610.82,1852.443,1608967.557,rebalance
2024-02-22,445290,BUY,109,14970.0,1631730.0,246.20939771308278,0.0,1641.3959847538854,1887.6053824669682,1633617.605382467,rebalance
2024-02-23,371460,BUY,192,7120.0,1367040.0,206.09254598658632,0.0,1373.9503065772421,1580.0428525638285,1368620.0428525638,rebalance
2024-02-26,456600,SELL,18,17800.0,320400.0,48.059999999999995,0.0,320.40000000000003,368.46000000000004,320031.54,regime_reduce_neutral_80%
2024-02-26,434730,SELL,27,12815.0,346005.0,51.900749999999995,0.0,346.005,397.90575,345607.09425,regime_reduce_neutral_80%
2024-02-26,364980,SELL,12,13870.0,166440.0,24.965999999999998,0.0,166.44,191.406,166248.594,regime_reduce_neutral_80%
2024-02-26,463250,SELL,18,11425.0,205650.0,30.847499999999997,0.0,205.65,236.4975,205413.5025,regime_reduce_neutral_80%
2024-02-26,445290,SELL,17,14765.0,251005.0,37.650749999999995,0.0,251.005,288.65575,250716.34425,regime_reduce_neutral_80%
2024-02-26,371460,SELL,29,7160.0,207640.0,31.145999999999997,0.0,207.64000000000001,238.786,207401.214,regime_reduce_neutral_80%
2024-02-27,445290,SELL,92,14525.0,1336300.0,200.445,0.0,1336.3,1536.745,1334763.255,rebalance
