number,value,datetime_start,datetime_complete,duration,ma_period,rsi_period,stop_loss_pct,by_lookback,fail_reason,valid,state
0,-999.0,2025-12-28 11:27:57.204158,2025-12-28 11:28:06.955838,0 days 00:00:09.751680,100,58,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 114, 'val_is_capped': False, 'val_sharpe': 1.0711166234963423, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 372, 'val_is_capped': False, 'val_sharpe': -0.411448431932506, 'score': -0.411448431932506}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 884, 'val_is_capped': False, 'val_sharpe': -0.9202390976975365, 'score': -0.9202390976975365}}",Unknown Error,False,COMPLETE
1,-999.0,2025-12-28 11:28:06.962506,2025-12-28 11:28:11.244307,0 days 00:00:04.281801,140,17,0.060000000000000005,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 212, 'val_is_capped': False, 'val_sharpe': 0.8426867244091105, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 730, 'val_is_capped': False, 'val_sharpe': -1.6077954895785784, 'score': -1.6077954895785784}}",Unknown Error,False,COMPLETE
3,-999.0,2025-12-28 11:28:16.220366,2025-12-28 11:28:20.240819,0 days 00:00:04.020453,160,11,0.15,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 134, 'val_is_capped': False, 'val_sharpe': 0.0011963151034933813, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 648, 'val_is_capped': False, 'val_sharpe': -0.5796305530913258, 'score': -0.5796305530913258}}",Unknown Error,False,COMPLETE
9,-999.0,2025-12-28 11:28:44.821562,2025-12-28 11:28:49.529502,0 days 00:00:04.707940,120,40,0.05,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 40, 'val_is_capped': False, 'val_sharpe': -2.769908057386312, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 290, 'val_is_capped': False, 'val_sharpe': -0.13026634718888225, 'score': -0.13026634718888225}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 809, 'val_is_capped': False, 'val_sharpe': -1.1995947671852467, 'score': -1.1995947671852467}}",Unknown Error,False,COMPLETE
4,-999.0,2025-12-28 11:28:20.246069,2025-12-28 11:28:24.475831,0 days 00:00:04.229762,180,20,0.07,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 58, 'val_is_capped': False, 'val_sharpe': 0.1311146656566082, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 566, 'val_is_capped': False, 'val_sharpe': -1.861112898956486, 'score': -1.861112898956486}}",Unknown Error,False,COMPLETE
6,-999.0,2025-12-28 11:28:29.814705,2025-12-28 11:28:34.509115,0 days 00:00:04.694410,110,24,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 80, 'val_is_capped': False, 'val_sharpe': -1.2015005365107612, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 334, 'val_is_capped': False, 'val_sharpe': -0.37195032265046746, 'score': -0.37195032265046746}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 850, 'val_is_capped': False, 'val_sharpe': -1.7525923927329965, 'score': -1.7525923927329965}}",Unknown Error,False,COMPLETE
8,-999.0,2025-12-28 11:28:39.919546,2025-12-28 11:28:44.815619,0 days 00:00:04.896073,110,50,0.07,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 76, 'val_is_capped': False, 'val_sharpe': -0.025088761793304635, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 330, 'val_is_capped': False, 'val_sharpe': -0.22660209846869936, 'score': -0.22660209846869936}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 848, 'val_is_capped': False, 'val_sharpe': -1.36174266623378, 'score': -1.36174266623378}}",Unknown Error,False,COMPLETE
15,-999.0,2025-12-28 11:29:08.094172,2025-12-28 11:29:12.272844,0 days 00:00:04.178672,140,45,0.07,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 210, 'val_is_capped': False, 'val_sharpe': 0.4243468639940911, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 724, 'val_is_capped': False, 'val_sharpe': -1.0878497236348748, 'score': -1.0878497236348748}}",Unknown Error,False,COMPLETE
18,-999.0,2025-12-28 11:29:22.037910,2025-12-28 11:29:26.199842,0 days 00:00:04.161932,140,60,0.13,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 212, 'val_is_capped': False, 'val_sharpe': 0.4307650389761015, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 724, 'val_is_capped': False, 'val_sharpe': -1.0338197936334974, 'score': -1.0338197936334974}}",Unknown Error,False,COMPLETE
19,-999.0,2025-12-28 11:29:26.205358,2025-12-28 11:29:29.716427,0 days 00:00:03.511069,200,43,0.11,"{'3': {'requested_lb': 3, 'effective_lb': '283d', 'val_effective_start_date': '2023-03-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 63, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '6': {'requested_lb': 6, 'effective_lb': '373d', 'val_effective_start_date': '2022-12-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 123, 'val_trades': 0, 'val_is_capped': False, 'val_sharpe': 0.0, 'score': -999.0}, '12': {'requested_lb': 12, 'effective_lb': '556d', 'val_effective_start_date': '2022-06-23 00:00:00', 'val_effective_end_date': '2023-12-31 00:00:00', 'val_bars_used': 249, 'val_trades': 484, 'val_is_capped': False, 'val_sharpe': -0.6247762651683519, 'score': -999.0}}",exposure_ratio(0.10) < 0.1,False,COMPLETE
